83910,Caceres,ESP,2,39.47,-6.33,1,405,SWEC,,,,,,,,,1.047197551,
Año,mes,día,hora,GHI,DNI,DHI,T seca,T humeda,Presión,Wdir,Wspd,Alb,Topocentric sun declination,Topocentric local hour angle,Azimut,Elevacion,Topocentric zenith angle,Top. azimuth angle (westward from S)
1989,1,6,22,0,0,0,9.4,5.3,96512,330,1.5,0.16,-22.386931,127.144211,94.970884,-42.283544,132.283544,94.970884
1989,1,6,23,0,0,0,8.3,4.8,96512,999,1.8,0.16,-22.381528,142.139333,107.041856,-53.589058,143.589058,107.041856
1989,1,6,24,0,0,0,8.3,4.6,96512,320,2.1,0.16,-22.376152,157.134372,125.046712,-63.966817,153.966817,125.046712
1989,1,7,1,0,0,0,8.3,4.3,96512,999,2.1,0.16,-22.370809,172.129361,156.627156,-71.385398,161.385398,156.627156
1989,1,7,2,0,0,0,7.8,3.8,96512,310,2.1,0.16,-22.365502,187.124334,201.304747,-71.598495,161.598495,201.304747
1989,1,7,3,0,0,0,7.8,3.8,96512,320,2.1,0.16,-22.360232,202.119328,233.75986,-64.42143,154.42143,233.75986
1989,1,7,4,0,0,0,7.2,3.5,96512,40,4.1,0.16,-22.354995,217.114379,252.210174,-54.120436,144.120436,252.210174
1989,1,7,5,0,0,0,7.2,3.5,96512,999,3.8,0.16,-22.349785,232.109518,264.461979,-42.834124,132.834124,264.461979
1989,1,7,6,0,0,0,6.7,3.8,96512,999,3.4,0.16,-22.344592,247.104773,274.179644,-31.315365,121.315365,274.179644
1989,1,7,7,0,0,0,6.7,4,96512,60,3.1,0.16,-22.339406,262.100161,282.968423,-19.923205,109.923205,282.968423
1989,1,7,8,0,0,0,6.7,4.3,96512,40,2.1,0.16,-22.334214,277.095692,291.698471,-8.922574,98.922574,291.698471
1989,1,7,9,15,0,15,6.7,4.6,96512,999,2.1,0.16,-22.329002,292.091367,300.977782,1.699309,88.300691,300.977782
1989,1,7,10,91,0,91,6.7,5.1,96512,50,2.1,0.16,-22.32376,307.087176,311.318655,10.799453,79.200547,311.318655
1989,1,7,11,220,479,67,7.2,5.3,96512,999,3.5,0.16,-22.318475,322.083102,323.152603,18.608177,71.391823,323.152603
1989,1,7,12,343,621,86,8.9,5.8,96512,999,4.8,0.16,-22.313138,337.079117,336.702588,24.391185,65.608815,336.702588
1989,1,7,13,429,725,93,10,6,96512,60,6.2,0.16,-22.307743,352.075191,351.731315,27.538203,62.461797,351.731315
1989,1,7,14,463,763,109,11.1,6.3,96512,999,6.2,0.16,-22.302286,7.071288,7.384397,27.632882,62.367118,7.384397
1989,1,7,15,432,728,128,12.2,6.3,96512,999,6.2,0.16,-22.296767,22.067372,22.48208,24.661545,65.338455,22.48208
1989,1,7,16,347,627,143,12.8,6.5,96512,60,6.2,0.16,-22.29119,37.063407,36.136645,19.021194,70.978806,36.136645
1989,1,7,17,223,482,129,12.2,6.3,96512,999,5,0.16,-22.285561,52.05936,48.075252,11.316704,78.683296,48.075252
1989,1,7,18,94,0,94,11.7,6.3,96512,999,3.8,0.16,-22.279889,67.055206,58.501352,2.255931,87.744069,58.501352
1989,1,7,19,15,0,0,11.1,6,96512,40,2.6,0.16,-22.274185,82.050927,67.839783,-8.27564,98.27564,67.839783
1989,1,7,20,0,0,0,10,5.8,96512,999,2.6,0.16,-22.268462,97.046511,76.600172,-19.242677,109.242677,76.600172
1989,1,7,21,0,0,0,9.4,5.3,96512,50,2.6,0.16,-22.262732,112.04196,85.384115,-30.615382,120.615382,85.384115
1989,1,7,22,0,0,0,8.9,5.1,96512,50,3.6,0.16,-22.257008,127.037283,95.041248,-42.128794,132.128794,95.041248
1989,1,7,23,0,0,0,8.3,4.6,96512,999,2.9,0.16,-22.251301,142.032496,107.114925,-53.431453,143.431453,107.114925
1989,1,7,24,0,0,0,7.8,4,96512,999,2.2,0.16,-22.245621,157.027628,125.084011,-63.803963,153.803963,125.084011
1989,1,8,1,0,0,0,7.8,3.8,96512,20,1.5,0.16,-22.239973,172.022708,156.471626,-71.22929,161.22929,156.471626
1989,1,8,2,0,0,0,7.8,3.5,96512,999,1.9,0.16,-22.234362,187.017772,200.883521,-71.502847,161.502847,200.883521
1989,1,8,3,0,0,0,7.2,3.2,96512,999,2.2,0.16,-22.228787,202.012858,233.386843,-64.389564,154.389564,233.386843
1989,1,8,4,0,0,0,7.8,3.2,96512,60,2.6,0.16,-22.223245,217.008,251.929619,-54.117594,144.117594,251.929619
1989,1,8,5,0,0,0,7.8,3.2,96512,999,2.6,0.16,-22.217729,232.003231,264.237641,-42.841201,132.841201,264.237641
1989,1,8,6,0,0,0,7.8,3.5,96512,999,2.6,0.16,-22.212231,246.998576,273.986867,-31.32276,121.32276,273.986867
1989,1,8,7,0,0,0,7.8,3.8,96512,40,2.6,0.16,-22.20674,261.994055,282.792876,-19.924941,109.924941,282.792876
1989,1,8,8,0,0,0,7.8,4,96512,999,2.4,0.16,-22.201243,276.989678,291.531433,-8.913913,98.913913,291.531433
1989,1,8,9,15,0,15,7.8,4.3,96512,999,2.3,0.16,-22.195728,291.985444,300.813975,1.721145,88.278855,300.813975
1989,1,8,10,91,0,91,7.8,4.8,96512,50,2.1,0.16,-22.190181,306.981344,311.155867,10.842279,79.157721,311.155867
